date,record_id,daily_views,cumulative_views,daily_unique_views,cumulative_unique_views,daily_downloads,cumulative_downloads,daily_unique_downloads,cumulative_unique_downloads,daily_version_views,cumulative_version_views,daily_version_unique_views,cumulative_version_unique_views,daily_version_downloads,cumulative_version_downloads,daily_version_unique_downloads,cumulative_version_unique_downloads,daily_volume,cumulative_volume,daily_version_volume,cumulative_version_volume
2026-06-26,20260147,0,149,0,124,0,16,0,13,0,149,0,124,0,16,0,13,0,0,0,0
2026-06-27,20260147,2,151,2,126,0,16,0,13,2,151,2,126,0,16,0,13,0,0,0,0
2026-06-28,20260147,0,151,0,126,0,16,0,13,0,151,0,126,0,16,0,13,0,0,0,0
2026-06-29,20260147,0,151,0,126,0,16,0,13,0,151,0,126,0,16,0,13,0,0,0,0
2026-06-30,20260147,0,151,0,126,0,16,0,13,0,151,0,126,0,16,0,13,0,0,0,0
2026-07-01,20260147,14,165,14,140,4,20,3,16,14,165,14,140,4,20,3,16,0,0,0,0
2026-07-02,20260147,3,168,3,143,1,21,1,17,3,168,3,143,1,21,1,17,0,0,0,0
2026-07-03,20260147,3,171,3,146,0,21,0,17,3,171,3,146,0,21,0,17,0,0,0,0
2026-07-04,20260147,0,171,0,146,2,23,2,19,0,171,0,146,2,23,2,19,0,0,0,0
2026-07-05,20260147,2,173,2,148,0,23,0,19,2,173,2,148,0,23,0,19,0,0,0,0
2026-07-06,20260147,2,175,2,150,0,23,0,19,2,175,2,150,0,23,0,19,0,0,0,0
2026-07-07,20260147,4,179,4,154,1,24,1,20,4,179,4,154,1,24,1,20,0,0,0,0
2026-07-08,20260147,1,180,1,155,4,28,4,24,1,180,1,155,4,28,4,24,0,0,0,0
2026-07-09,20260147,1,181,1,156,0,28,0,24,1,181,1,156,0,28,0,24,0,0,0,0
2026-07-11,20260147,6,187,4,160,6,34,2,26,6,187,4,160,6,34,2,26,0,0,0,0
2026-07-12,20260147,5,192,4,164,0,34,0,26,5,192,4,164,0,34,0,26,0,0,0,0
2026-07-13,20260147,0,192,0,164,0,34,0,26,0,192,0,164,0,34,0,26,0,0,0,0
2026-07-14,20260147,1,193,1,165,0,34,0,26,1,193,1,165,0,34,0,26,0,0,0,0
2026-07-15,20260147,0,193,0,165,0,34,0,26,0,193,0,165,0,34,0,26,0,0,0,0
2026-07-16,20260147,3,196,1,166,2,36,2,28,3,196,1,166,2,36,2,28,0,0,0,0
2026-07-17,20260147,0,196,0,166,0,36,0,28,0,196,0,166,0,36,0,28,0,0,0,0
2026-07-18,20260147,4,200,1,167,3,39,2,30,4,200,1,167,3,39,2,30,0,0,0,0
2026-07-19,20260147,0,200,0,167,0,39,0,30,0,200,0,167,0,39,0,30,0,0,0,0
2026-07-20,20260147,0,200,0,167,0,39,0,30,0,200,0,167,0,39,0,30,0,0,0,0
2026-07-21,20260147,0,200,0,167,0,39,0,30,0,200,0,167,0,39,0,30,0,0,0,0
2026-07-22,20260147,0,200,0,167,0,39,0,30,0,200,0,167,0,39,0,30,0,0,0,0
